664 articles
+----------------------------------+-------------+--------+---------------+---------------+
| Titlu                            |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| Cu câtă-nţelepciune              | Traian Dorz | poezie |       17      |       94      |
| Cel ce n-a-nvăţat                | Traian Dorz | poezie |       19      |       81      |
| Ce slab e glasul meu             | Traian Dorz | poezie |       29      |      139      |
| În lume-aici                     | Traian Dorz | poezie |       29      |      104      |
| O, Sfinte Răni                   | Traian Dorz | poezie |       34      |      131      |
| Nu vă-nchideţi încă              | Traian Dorz | poezie |       29      |      120      |
| Doamne, nu fac                   | Traian Dorz | poezie |       25      |      141      |
| Teme-te de Ochiul Veşnic         | Traian Dorz | poezie |       34      |      116      |
| Amar e gustul despărţirii        | Traian Dorz | poezie |       29      |      127      |
| Să nu pot izgoni din mine        | Traian Dorz | poezie |       29      |      125      |
| Ştii tu câţi sunt?               | Traian Dorz | poezie |       29      |      120      |
| Când mii de fraţi ai tăi         | Traian Dorz | poezie |       29      |      139      |
| Slavă nesfârşită Doamne          | Traian Dorz | poezie |       26      |       78      |
| Slavă Ţie Turn Puternic          | Traian Dorz | poezie |       31      |      116      |
| O daltă e Cuvântul               | Traian Dorz | poezie |       31      |      110      |
| Dimineaţă, dimineaţă             | Traian Dorz | poezie |       26      |      101      |
| Nesfârşită slavă Doamne          | Traian Dorz | poezie |       26      |       90      |
| Luptă-te, dar niciodată...       | Traian Dorz | poezie |       29      |      112      |
| Prezenţa Ta                      | Traian Dorz | poezie |       34      |      123      |
| Viaţa nu-i făcută                | Traian Dorz | poezie |       29      |       78      |
| Iubire-arată-mi totdeauna        | Traian Dorz | poezie |       32      |      115      |
| Doamne, laudele mele             | Traian Dorz | poezie |       26      |      101      |
| Ce-mi vezi tu ochiul meu?        | Traian Dorz | poezie |       26      |      113      |
| O, cerule-nstelat!               | Traian Dorz | poezie |       34      |      121      |
| Doamne, cum să-Ţi cer?           | Traian Dorz | poezie |       29      |      116      |
| Cum soarele-şi întoarce          | Traian Dorz | poezie |       18      |      106      |
| O, gândurile mele                | Traian Dorz | poezie |       22      |      112      |
| Eu strâng sămânţa                | Traian Dorz | poezie |       29      |      130      |
| Viaţa este slavă                 | Traian Dorz | poezie |       29      |       89      |
| O viaţă ai!                      | Traian Dorz | poezie |       25      |      139      |
| O, soare care-ţi dai lumina      | Traian Dorz | poezie |       35      |      131      |
